small_space,large_space,optimizer,budget_mode,checkpoint,n_pairs,mean_penalty,median_penalty,ci95_low,ci95_high,paradox_incidence,wilcoxon_p,holm_p
S3,S4,random,time,30,37,0.00013094531654394664,0.0011494454583741431,-0.0032355762643067913,0.003159267817988834,0.6486486486486487,0.20768325998506043,0.644955516938353
S3,S4,random,time,60,38,0.0019414327424856464,0.000850916434166904,-0.0006664372745842053,0.004539647330636932,0.6578947368421053,0.06507603968202602,0.3904562380921561
S3,S4,random,time,120,40,0.0028918053032843754,0.0012345038833285193,0.0007520456575755272,0.0051055134888580486,0.7,0.006657873602307518,0.053262988818460144
S3,S4,random,time,180,40,0.002685864332085225,0.0008212610569492962,0.00024298045893550506,0.0051478292771203445,0.625,0.05481029127986403,0.3836720389590482
S3,S4,tpe,time,30,37,0.00025002752199246227,0.0010988655654657897,-0.002937380831443112,0.0029961170866072504,0.6756756756756757,0.10051859231316485,0.5025929615658242
S3,S4,tpe,time,60,38,0.0010991784941119024,0.0006364689714641325,-0.0009605707277289535,0.0029911325027677286,0.6052631578947368,0.16123887923458824,0.644955516938353
S3,S4,tpe,time,120,40,0.000490492009808377,0.00015793907061639745,-0.0015276011349668458,0.0023376754707496957,0.575,0.45981367328386114,0.7892555738420246
S3,S4,tpe,time,180,40,0.0006781418113616294,0.00018426224905260247,-0.0005146663250578564,0.001996358633667668,0.55,0.3946277869210123,0.7892555738420246
