dataset,reference_pool,S3_ref_val_auc,S3_ref_test_auc,S3_ref_model,S3_n_trials,S4_ref_val_auc,S4_ref_test_auc,S4_ref_model,S4_n_trials,opportunity_gain_val,reference_test_difference
adult,random,0.9178363258965972,0.9145871417106273,xgb,1000,0.9176587124926648,0.9147113329325647,xgb,1000,-0.00017761340393240843,0.0001241912219374086
adult,tpe,0.9182095136104778,0.9142211178908841,xgb,1000,0.9182327450957516,0.9148480097985697,xgb,1000,2.3231485273833563e-05,0.0006268919076856116
credit,random,0.7991534391534392,0.7775661375661377,rf,1000,0.7953439153439154,0.750899470899471,mlp,1000,-0.003809523809523818,-0.026666666666666727
credit,tpe,0.7964021164021164,0.7801058201058201,rf,1000,0.7974603174603174,0.7779894179894179,rf,1000,0.0010582010582009804,-0.002116402116402183
magic,random,0.9351054943278272,0.9377419094069142,xgb,1000,0.933884831990515,0.9381493357764543,xgb,1000,-0.0012206623373122172,0.00040742636954016476
magic,tpe,0.9355716633882138,0.9376783164021448,xgb,1000,0.9358556762145996,0.9365449597154483,xgb,1000,0.0002840128263857933,-0.0011333566866965628
spambase,random,0.9836273923444976,0.9885845149515653,xgb,1000,0.9833899169715732,0.9879966306331602,xgb,1000,-0.00023747537292440057,-0.0005878843184050631
spambase,tpe,0.984630066141289,0.9884353502737611,xgb,1000,0.9842518646214468,0.9882510880247087,xgb,1000,-0.00037820151984224726,-0.0001842622490523249
